أبو بكر بن علي بن محمد الحدادي العبادي الزبيدي اليمني الحنفي (المتوفى: 800هـ)	الزبيدي	n
أبو الحسن علي بن أبي الكرم محمد بن محمد الشيباني الجزري	ابن الأثير	y
عبد الملك بن محمد بن إسماعيل أبو منصور الثعالبي (المتوفى : 429هـ)	عبد الملك بن محمد بن إسماعيل أبو منصور الثعالبي (المتوفى: 429هـ)	y
أبو الفضل بن عمار الشهيد	أبو الفضل محمد بن أبي الحسين أحمد بن محمد بن عمار بن محمد بن حازم بن المعلى بن الجارود الجارودي، الهروي، الشهيد (المتوفى: 317هـ)	y
أبو القاسم محمود بن عمرو بن أحمد، الزمخشري جار الله (المتوفى : 538هـ)	أبو القاسم محمود بن عمرو بن أحمد، الزمخشري جار الله (المتوفى: 538هـ)	y
عبد الملك بن عبد الله بن يوسف الجويني	عبد الملك بن عبد الله بن يوسف بن محمد الجويني، أبو المعالي، ركن الدين، الملقب بإمام الحرمين (المتوفى: 478هـ)	y
أبو الفرج عبد الرحمن بن الجوزي الحنبلي	ياسر عبد الرحمن	n
ابن الجوزي	جمال الدين أبي الفرج عبد الرحمن ابن الجوزي	y
خيثمة الأطرابلسي	خيثمة بن سليمان الأطرابلسي	y
أبو الحسن على بن الحسين بن على المسعودي (المتوفى: 346هـ)	المسعودي	y
أبو الحسن الدارقطني	الدارقطني	y
أبي منصور عبد الملك بن محمد بن إسماعيل الثعالبي	عبد الملك بن محمد بن إسماعيل أبو منصور الثعالبي (المتوفى : 429هـ)	y
أبو القاسم، محمد بن أحمد بن محمد بن عبد الله، ابن جزي الكلبي الغرناطي (المتوفى: 741هـ)	الغرناطي الكلبي	y
أبو القاسم محمود بن عمر الزمخشري الخوارزمي	أبو القاسم محمود بن عمرو بن أحمد، الزمخشري جار الله (المتوفى: 538 هـ)	y
أبو القاسم الحسين بن محمد المعروف بالراغب الأصفهانى (المتوفى: 502هـ)	أبو القاسم الحسين بن محمد بن المفضل الأصفهاني	y
أبو بكر عبد الله بن محمد بن أبي شيبة الكوفي	أبي بكر عبد الله بن محمد بن أبي شيبة	y
أبو الفرج عبد الرحمن بن الجوزي الحنبلي	عبد الرحمن بن محمد بن أحمد بن قدامة المقدسي الجماعيلي الحنبلي، أبو الفرج، شمس الدين (المتوفى: 682هـ)	n
أبو عبد الله محمد بن فتوح بن عبد الله الحميدي (المتوفى : 488هـ)	محمد بن فتوح الحميدي	y
محمد بن طاهر المقدسي أبو الفضل	محمد بن طاهر بن علي بن القيسراني	y
