Shamela_0035100	#0748.Dhahabi.TarikhIslam	NA	شمس الدين أبو عبد الله محمد بن أحمد بن عثمان بن قايماز الذهبي (المتوفى: 748هـ)	NOTGIVEN	748	NA	تاريخ الإسلام ووفيات المشاهير والأعلام	NA	التراجم والطبقات	15	NA	NA	Shamela_0035100	NA	http://shamela.ws/browse.php/book-35100	http://shamela.ws/index.php/book/35100	NA	NA	NA	الدكتور بشار عواد معروف	الأولى، 2003 م	NA	دار الغرب الإسلامي	NA	NA	NA	NA	NA	NA	NA	NA
JK_003608	#0902.Sakhawi.DuLamic	السخاوي	شمس الدين محمد بن عبد الرحمن السخاوي	NOTGIVEN	902	NA	الضوء اللامع لأهل القرن التاسع	NA	الطبقات والتراجم :: الطبقات والوفيات :: كتب التاريخ	12*6	NA	الضوء اللامع	JK_003608	NA	NA	NA	NA	NA	NA	NA	NA	NA	منشورات دار مكتبة الحياة	بيروت	NA	NA	NA	NA	NA	NA	NA
Shamela_0006675	#0902.Sakhawi.DuLamic	NA	شمس الدين أبو الخير محمد بن عبد الرحمن بن محمد بن أبي بكر بن عثمان بن محمد السخاوي (المتوفى: 902هـ)	NOTGIVEN	902	NA	الضوء اللامع لأهل القرن التاسع	NA	التراجم والطبقات	6	NA	NA	Shamela_0006675	NA	http://shamela.ws/browse.php/book-6675	http://shamela.ws/index.php/book/6675	NA	NA	NA	NA	NA	NA	منشورات دار مكتبة الحياة - بيروت	NA	NA	NA	NA	NA	NA	NA	NA
Shamela_0012397	#0748.Dhahabi.TarikhIslam	NA	شمس الدين أبو عبد الله محمد بن أحمد بن عثمان بن قايماز الذهبي (المتوفى: 748هـ)	NOTGIVEN	748	NA	تاريخ الإسلام ووفيات المشاهير والأعلام	NA	التاريخ	52	NA	NA	Shamela_0012397	NA	http://shamela.ws/browse.php/book-12397	http://shamela.ws/index.php/book/12397	NA	NA	NA	عمر عبد السلام التدمري	الثانية، 1413 هـ - 1993 م	NA	دار الكتاب العربي، بيروت	NA	NA	NA	NA	NA	NA	NA	NA
Shia_003512Vols	#0748.Dhahabi.TarikhIslam	NA	الذهبي	NOTGIVEN	748	NA	تاريخ الإسلام	NA	مصادر التاريخ	52	NA	NA	Shia_003512Vols	NA	http://shiaonlinelibrary.com/الكتب/3512_تاريخ-الإسلام-الذهبي-ج-1	NA	NA	NA	NA	د. عمر عبد السلام تدمرى	الأولى	NA	NA	NA	1407 - 1987م	NA	NA	NA	NA	NA	NA
JK_007088	#0748.Dhahabi.TarikhIslam	شمس الدين محمد بن أحمد بن عثمان الذهبي	شمس الدين محمد بن أحمد بن عثمان الذهبي	NOTGIVEN	748	NA	تاريخ الإسلام ووفيات المشاهير والأعلام	NA	التواريخ العامة :: كتب التاريخ	52	NA	تاريخ الإسلام	JK_007088	NA	NA	NA	NA	NA	NA	د. عمر عبد السلام تدمرى	الأولى	NA	دار الكتاب العربي	لبنان/ بيروت	1407هـ - 1987م	NA	NA	NA	NA	NA	NA
Shamela_0000071	#0571.IbnCasakir.TarikhDimashq	NA	أبو القاسم علي بن الحسن بن هبة الله المعروف بابن عساكر (المتوفى: 571هـ)	NOTGIVEN	571	NA	تاريخ دمشق	NA	التراجم والطبقات	80 (74 و 6 مجلدات فهارس)	NA	NA	Shamela_0000071	NA	http://shamela.ws/browse.php/book-71	http://shamela.ws/index.php/book/71	NA	NA	NA	عمرو بن غرامة العمروي	NA	NA	دار الفكر للطباعة والنشر والتوزيع	NA	1415 هـ - 1995 م	NA	NA	NA	NA	NA	NA
Shia_003157Vols	#0571.IbnCasakir.TarikhDimashq	NA	ابن عساكر	NOTGIVEN	571	NA	تاريخ مدينة دمشق	NA	أهم مصادر رجال الحديث عند السنة	70	NA	NA	Shia_003157Vols	NA	http://shiaonlinelibrary.com/الكتب/3157_تاريخ-مدينة-دمشق-ابن-عساكر-ج-1	NA	NA	NA	NA	علي شيري	NA	NA	NA	NA	1415	NA	NA	NA	NA	NA	NA
JK_000916	#0571.IbnCasakir.TarikhDimashq	ابن عساكر	أبي القاسم علي بن الحسن إبن هبة الله بن عبد الله الشافعي	499	571	NA	تاريخ مدينة دمشق وذكر فضلها وتسمية من حلها من الأماثل	NA	تواريخ البلدان :: كتب البلدان :: كتب الحديث النبوي الشريف وتراجم الرواة	70	NA	تاريخ مدينة دمشق	JK_000916	NA	NA	NA	NA	NA	NA	محب الدين أبي سعيد عمر بن غرامة العمري	NA	NA	دار الفكر	بيروت	1995	NA	NA	NA	NA	NA	NA
Shamela_0023764	#0463.KhatibBaghdadi.TarikhBaghdad.XXX	NA	أبو بكر أحمد بن علي بن ثابت بن أحمد بن مهدي الخطيب البغدادي (المتوفى: 463هـ)	NOTGIVEN	463	NA	تاريخ بغداد وذيوله	NA	التراجم والطبقات	24	NA	NA	Shamela_0023764	NA	http://shamela.ws/browse.php/book-23764	http://shamela.ws/index.php/book/23764	NA	NA	NA	مصطفى عبد القادر عطا	الأولى، 1417 هـ	NA	دار الكتب العلمية - بيروت	NA	NA	NA	NA	NA	NA	NA	NA
